Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
ST1W,G300,P76314-11,,1/5/2015 9:40,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/7/2015 7:56,0.106,0.106,+/- 0.007,0.002,0.004,0.002,mg/L,,,1/5/2015 12:44,49666010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P76314-11,,1/5/2015 9:40,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,1/6/2015 12:23,0.074,0.074,+/- 0.005,0.002,0.008,0.002,mg/L,,,1/5/2015 12:44,49666010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P76314-11,,1/5/2015 9:40,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,1/9/2015 12:00,0.086,0.086,+/- 0.005,0.002,0.004,0.002,mg/L,,,1/5/2015 12:44,49666010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,,
ST1W,G300,P76314-23,,1/5/2015 9:51,FCEB,G,,,DI,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,1/6/2015 12:29,-0.002,-0.002,+/- 0.002,0.002,0.008,0.002,mg/L,U,,1/5/2015 12:45,49666022,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,9,EB,0,0,0,MON,3,,
ST1W,G300,P76314-23,,1/5/2015 9:51,FCEB,G,,,DI,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/7/2015 8:07,-0.002,-0.002,+/- 0.002,0.002,0.004,0.002,mg/L,U,,1/5/2015 12:45,49666022,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,9,EB,0,0,0,MON,3,,
ST1W,G300,P76314-23,,1/5/2015 9:51,FCEB,G,,,DI,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,1/12/2015 9:07,-0.002,-0.002,+/- 0.002,0.002,0.004,0.002,mg/L,U,,1/5/2015 12:45,49666022,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,9,EB,0,0,0,MON,3,,
ST1W,G300,P76318-10,,1/12/2015 9:44,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,1/14/2015 13:01,0.071,0.071,+/- 0.004,0.002,0.004,0.002,mg/L,,,1/12/2015 13:31,49670010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,0,4,MON,3,Gates closed. Moderate fine particulates in sample.,
ST1W,G300,P76318-10,,1/12/2015 9:44,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/13/2015 13:14,0.108,0.108,+/- 0.007,0.002,0.004,0.002,mg/L,,,1/12/2015 13:31,49670010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,0,4,MON,3,Gates closed. Moderate fine particulates in sample.,
ST1W,G300,P76318-10,,1/12/2015 9:44,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,1/13/2015 14:20,0.06,0.06,+/- 0.004,0.002,0.008,0.002,mg/L,,,1/12/2015 13:31,49670010,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,0,4,MON,3,Gates closed. Moderate fine particulates in sample.,
ST1E,G300,P75231-12,,1/20/2015 9:46,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/21/2015 11:28,0.127,0.127,+/- 0.008,0.002,0.004,0.002,mg/L,,,1/20/2015 12:59,48944012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,4,MON,3,Moderate amount of fine particulates noticed in filter.  Scattered duckweed around sampling area.,
ST1E,G300,P75231-12,,1/20/2015 9:46,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,1/27/2015 12:12,0.045,0.045,+/- 0.003,0.002,0.004,0.002,mg/L,,,1/20/2015 12:59,48944012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,4,MON,3,Moderate amount of fine particulates noticed in filter.  Scattered duckweed around sampling area.,
ST1E,G300,P75231-12,,1/20/2015 9:46,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,1/21/2015 11:20,0.033,0.033,+/- 0.003,0.002,0.008,0.002,mg/L,,,1/20/2015 12:59,48944012,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,4,MON,3,Moderate amount of fine particulates noticed in filter.  Scattered duckweed around sampling area.,
ST1W,G300,P75413-11,,1/26/2015 10:27,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/27/2015 14:43,0.112,0.112,+/- 0.007,0.002,0.004,0.002,mg/L,,,1/26/2015 15:03,49134011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
ST1W,G300,P75413-11,,1/26/2015 10:27,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,1/27/2015 12:13,0.06,0.06,+/- 0.004,0.002,0.008,0.002,mg/L,,,1/26/2015 15:03,49134011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
ST1W,G300,P75413-11,,1/26/2015 10:27,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,1/29/2015 11:53,0.07,0.07,+/- 0.004,0.002,0.004,0.002,mg/L,,,1/26/2015 15:03,49134011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,,
ST1W,G300,P75409-12,,2/2/2015 9:59,SAMP,G,0.5,m,SW,26,"PHOSPHATE, DISSOLVED AS P",666,SM4500PF,2/4/2015 12:35,0.066,0.066,+/- 0.004,0.002,0.004,0.002,mg/L,,,2/2/2015 14:39,49130011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,Gates closed. 3 filters used during processing. Fine dark particulates noticed in filter during processing,
ST1W,G300,P75409-12,,2/2/2015 9:59,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/3/2015 11:20,0.123,0.123,+/- 0.008,0.002,0.004,0.002,mg/L,,,2/2/2015 14:39,49130011,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,1,MON,3,Gates closed. 3 filters used during processing. Fine dark particulates noticed in filter during processing,
