Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
CAMB,S5A,P76347-5,,1/5/2015 13:29,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,1/6/2015 12:36,0.06,0.06,+/- 0.004,0.002,0.008,0.002,mg/L,,,1/5/2015 16:28,49689005,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,4,MON,3,Very fine particulates present in sample.,
CAMB,S5A,P76347-5,,1/5/2015 13:29,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/7/2015 9:14,0.112,0.112,+/- 0.007,0.002,0.004,0.002,mg/L,,,1/5/2015 16:28,49689005,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,4,MON,3,Very fine particulates present in sample.,
CAMB,S5A,P76359-1,,1/12/2015 11:15,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/13/2015 12:58,0.11,0.11,+/- 0.007,0.002,0.004,0.002,mg/L,,,1/12/2015 12:55,49701001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,3,MON,3,No pumps running at time of site visit.,
CAMB,S5A,P76363-1,,1/20/2015 8:27,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/21/2015 11:46,0.096,0.096,+/- 0.006,0.002,0.004,0.002,mg/L,,,1/20/2015 15:05,49705001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,2,1,2,MON,3,[ALKA] cancelled.  [CL] cancelled.  [NH4] cancelled.  [NOX] cancelled.  [OPO4] cancelled.  [TKN] cancelled.  [TN] cancelled.  [TURB] cancelled.,
CAMB,S5A,P76360-1,,1/26/2015 8:15,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,1/27/2015 14:03,0.129,0.129,+/- 0.008,0.002,0.004,0.002,mg/L,,,1/26/2015 13:08,49702001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,4,MON,3,One pump running at time of site visit. Water visibly very turbid and contained lots of fine solids.,
CAMB,S5A,P76364-1,,2/2/2015 13:29,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,2/3/2015 15:03,0.061,0.061,+/- 0.004,0.002,0.008,0.002,mg/L,,,2/2/2015 15:29,49706001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,3,MON,3,fine particulates,
CAMB,S5A,P76364-1,,2/2/2015 13:29,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/3/2015 12:03,0.142,0.142,+/- 0.009,0.002,0.004,0.002,mg/L,,,2/2/2015 15:29,49706001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,3,MON,3,fine particulates,
CAMB,S5A,P76361-1,,2/9/2015 8:28,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/10/2015 10:57,0.137,0.137,+/- 0.008,0.002,0.004,0.002,mg/L,,,2/9/2015 14:00,49703001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,4,MON,3,,
CAMB,S5A,P76365-1,,2/16/2015 7:37,SAMP,G,0.5,m,SW,25,"PHOSPHATE, TOTAL AS P",665,SM4500PF,2/18/2015 10:07,0.155,0.155,+/- 0.010,0.002,0.004,0.002,mg/L,,,2/16/2015 13:50,49707001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,,
CAMB,S5A,P76365-1,,2/16/2015 7:37,SAMP,G,0.5,m,SW,23,"PHOSPHATE, ORTHO AS P",671,SM4500PF,2/17/2015 13:13,0.11,0.11,+/- 0.007,0.002,0.008,0.002,mg/L,,,2/16/2015 13:50,49707001,WMD,WMD,WMD,2,WMD,PD,NO,,,,,,0,,1,1,2,MON,3,,
